ID,Title,Description,"How to use",Brand,Remainder,Images
d6a08b6c-58bc-11ec-8635-d43b04e6cfa2,"MISSHA SAFE BLOCK RX COVER TONE UP SUN CUSHION , 0",,,MISSHA,1
d6a08b7c-58bc-11ec-8635-d43b04e6cfa2,"MISSHA COLOR WEAR BROWCARA [CAPPUCCINO BROWN] , 7.5g",,,MISSHA,1
d6a08b82-58bc-11ec-8635-d43b04e6cfa2,"MISSHA TRIPLE SHADOW [NO.13] , 2g",,,MISSHA,1
d6a08b83-58bc-11ec-8635-d43b04e6cfa2,"MISSHA TRIPLE SHADOW [NO.14] , 2g",,,MISSHA,1
d6a08b85-58bc-11ec-8635-d43b04e6cfa2,"Кушон MISSHA RADIANCE PERFECT FIT CUSHION FOUNDATION [NO.21P]","Пришло время вывести свою красоту на новый уровень с MISSHA Radiance Perfect Fit Cushion Foundation SPF50+ PA+++. Благодаря инновационной формуле “Perfect Fit” эта тональная основа обеспечивает длительное покрытие, увлажняя и освежая кожу.Не позволяйте суровым ультрафиолетовым лучам повредить вашу кожу. MISSHA Radiance Perfect Fit Cushion Foundation также действует как надежный барьер против UVA и UVB лучей с SPF50+ PA+++, обеспечивая столь необходимую защиту от солнца для более здорового цвета лица.Будьте готовы покорять с безупречной, сияющей кожей! MISSHA Radiance Perfect Fit Cushion Foundation SPF50+ PA+++ – это все, что вам нужно для создания великолепного, стойкого образа, который привлечет внимание окружающих. Его запатентованная формула обеспечит до 48 часов покрытия с легкой, комфортной текстурой, которая легко сочетается с кожей.","В качестве последнего этапа рутины нанесите соответствующее количество средства на спонж и равномерно распределите его по лицу.",MISSHA,10,http://localhost/upload/products/4msmTWI4uM42.webp
d6a08b88-58bc-11ec-8635-d43b04e6cfa2,"MISSHA RADIANCE FOUNDATION SPF20/PA++ [SAND] , 35ml",,,MISSHA,1
d6a08b89-58bc-11ec-8635-d43b04e6cfa2,"MISSHA RADIANCE PACT SPF27/PA++ [VANILLA] , 9.5g",,,MISSHA,1
d6a08b8a-58bc-11ec-8635-d43b04e6cfa2,"MISSHA 3D MASCARA 2018 , 7g","Подкручивающая тушь для ресниц с 3D–эффектом максимально увеличивает объем ресниц, делает взгляд чувственным и более выразительным. Натуральный воск выступает в качестве фиксирующего компонента. Кроме того, обеспечивает защиту ресниц от повреждений, яркий насыщенный угольно-черный цвет визуально добавляет объем. Тушь очень быстро сохнет, надежно фиксируя ресницы, не осыпается, не размазывается от пота, слез и внешней влаги. Удобная кисточка туши, особой трехгранной формы, обеспечивает идеальное прокрашивание и разделение ресничек, не склеивает и не повреждает их, подкручивает, увеличивает объем и фиксирует.","Прокрасьте ресницы зигзагообразным движением, от корней до кончиков.",MISSHA,64,http://localhost/upload/products/GT1puLDgolou.webp
d6a08b8b-58bc-11ec-8635-d43b04e6cfa2,"MISSHA 4D MASCARA 2018 , 7g","Одной из главных особенностей туши Missha является то, что в ее состав входят экстракты растений или зеленые ингредиенты, которые предотвращают раздражение чувствительных глаз. Продукт поставляется в бутылке объемом 4 г, заявленной как водонепроницаемая. У туши есть как 3D-, так и 4D-версии, но 4D-версия - это немного усовершенствованный продукт, чем 3D. Кроме того, щетки имеют жесткие волокна, которые делают их толще, поэтому они собирают больше продуктов из контейнера квадратной формы и их легко наносить. Тушь не слишком тяжелая и не липкая, и ее можно использовать ежедневно.","Прокрасьте ресницы зигзагообразным движением, от корней до кончиков.",MISSHA,50,http://localhost/upload/products/gTLAn9tw6jOa.jpg
d6a08b8c-58bc-11ec-8635-d43b04e6cfa2,"Кушон MISSHA RADIANCE PERFECT FIT CUSHION FOUNDATION [NO.21N]","Пришло время вывести свою красоту на новый уровень с MISSHA Radiance Perfect Fit Cushion Foundation SPF50+ PA+++. Благодаря инновационной формуле “Perfect Fit” эта тональная основа обеспечивает длительное покрытие, увлажняя и освежая кожу.Не позволяйте суровым ультрафиолетовым лучам повредить вашу кожу. MISSHA Radiance Perfect Fit Cushion Foundation также действует как надежный барьер против UVA и UVB лучей с SPF50+ PA+++, обеспечивая столь необходимую защиту от солнца для более здорового цвета лица.Будьте готовы покорять с безупречной, сияющей кожей! MISSHA Radiance Perfect Fit Cushion Foundation SPF50+ PA+++ – это все, что вам нужно для создания великолепного, стойкого образа, который привлечет внимание окружающих. Его запатентованная формула обеспечит до 48 часов покрытия с легкой, комфортной текстурой, которая легко сочетается с кожей.","В качестве последнего этапа рутины нанесите соответствующее количество средства на спонж и равномерно распределите его по лицу.",MISSHA,10,http://localhost/upload/products/wVQXzkNOPLD5.webp
d6a08b8f-58bc-11ec-8635-d43b04e6cfa2,"SIGNATURE DRAMATIC TWOWAY PACT [VANILL",,,MISSHA,1
d6a08b90-58bc-11ec-8635-d43b04e6cfa2,"SIGNATURE DRAMATIC TWOWAY PACT [SAND] , 9",,,MISSHA,1
d6a08b94-58bc-11ec-8635-d43b04e6cfa2,"SIGNATURE WRINKLE FILL-UP BB CREAM SPF37/PA++ [NO.23]",,,MISSHA,1
d6a08b96-58bc-11ec-8635-d43b04e6cfa2,"Двухсторонний карандаш для бровей MISSHA ALL-LASTING EYE BROW [GRAY BROWN]","Идеальные брови за несколько минут поможет создать новинка – Missha All-lasting Eye Brow. С одной стороны у него щёточка, а с другой – грифель с треугольным сечением: им удобно и прорисовывать отдельные волоски, и полностью «заполнять» бровь пигментом, чтобы получить естественный результат. Благодаря стойкой формуле карандаша, вы можете не переживать за макияж если попали под дождь или во время интенсивной тренировки.","Заполните цветом пространство между волосками, повернув карандаш широким концом, или нарисуйте отдельные линии острым краем грифеля. Расчешите брови щёточкой и нанесите прозрачный фиксирующий гель.",MISSHA,10,http://localhost/upload/products/xWJXRwmoj8E7.jpg
d6a08ba1-58bc-11ec-8635-d43b04e6cfa2,"MISSHA MODERN SHADOW GLITTER PRISM [NO.15] , 2g",,,MISSHA,1
d6a08ba2-58bc-11ec-8635-d43b04e6cfa2,"MISSHA MODERN SHADOW GLITTER PRISM [NO.16] , 2g",,,MISSHA,1
d6a08ba8-58bc-11ec-8635-d43b04e6cfa2,"СПФ MISSHA GLOW TENSION SPF50+ PA+++ [NO.23] , 15g","Данное тональное средство способно буквально преобразить вашу кожу. Это продукт в достаточно эргономичном формате кушона, у него среднее покрытие, благодаря чему оно может выровнять тон лица, скрыть пигментные пятна, а также постакне. В средстве находится гиалуроновая кислота и коллаген, которые помогают увлажнить, разглаживают, подтягивают кожу, делают её упругой. У кушона деликатный сияющий финиш, он способен подарить лицу отдохнувший, свежий, ухоженный вид.","Нанесите данное средство на сухое и очищенное лицо, распределите его с помощью спонжа, который находится в комплекте.",MISSHA,10
d6a08bac-58bc-11ec-8635-d43b04e6cfa2,"BB крем MISSHA M PERFECT BLANC BB [NO.22] , 40g","  ↵Осветляющий BB-крем для покрытия, который помогает выразить четкие и естественные тона кожи с помощью 10 Blanc Complex™.Маскирует тусклые пятна, темные пятна, а также красные, желтые и черные тона кожи, делая ее яркой и сияющей.PHA, полученный из меда, ухаживает за огрубевшей кожей и контролирует потемнение, красиво покрывая кожу без стимуляции.",,MISSHA,8,http://localhost/upload/products/a7i9NFetjC5C.jpg
d6a08bbd-58bc-11ec-8635-d43b04e6cfa2,"MISSHA MODERN SHADOW GLITTER PRISM [NO.2] , 2g","Сияющие блестки и масло с высоким преломлением смешиваются с пудрой вручную для получения более качественных частиц.Драгоценный комплекс премиум-класса и дорогой жемчуг с голограммой сияют вашим глазам, как гламурные драгоценности.Эластичный силиконовый гель помогает блесткам плавно прилипать к коже, не рассеивая частицы.","  ↵Возьмите соответствующее количество и равномерно распределите по глазам.",MISSHA,12,http://localhost/upload/products/x472ELzIAxgX.jpg
d6a08bbe-58bc-11ec-8635-d43b04e6cfa2,"Глиттер MISSHA MODERN SHADOW GLITTER PRISM [NO.3] , 2g","Сияющие блестки и масло с высоким преломлением смешиваются с пудрой вручную для получения более качественных частиц.Драгоценный комплекс премиум-класса и дорогой жемчуг с голограммой сияют вашим глазам, как гламурные драгоценности.Эластичный силиконовый гель помогает блесткам плавно прилипать к коже, не рассеивая частицы.","Возьмите соответствующее количество и равномерно распределите по глазам.",MISSHA,13,http://localhost/upload/products/vkp5me0w0WLt.jpg
d6a08bc0-58bc-11ec-8635-d43b04e6cfa2,"MISSHA ULTRA POWERPROOF MASCARA [CURLING & VOLUMING]",,,MISSHA,1
d6a08bc6-58bc-11ec-8635-d43b04e6cfa2,"MISSHA RADIANCE PERFECT FIT FOUNDATION [NO.23]",,,MISSHA,7
d6a08bc7-58bc-11ec-8635-d43b04e6cfa2,"MISSHA DARE ROUGE SHEER SLEEK [TEA COASTER] , 3.5g",,,MISSHA,1
d6a08bc8-58bc-11ec-8635-d43b04e6cfa2,"MISSHA DARE ROUGE SHEER SLEEK [FIG PIE] , 3.5g",,,MISSHA,1
d6a08bc9-58bc-11ec-8635-d43b04e6cfa2,"MISSHA DARE ROUGE SHEER SLEEK [CHERRY COMPOTE] , 3.5g",,,MISSHA,2
d6a08bca-58bc-11ec-8635-d43b04e6cfa2,"MISSHA DARE ROUGE SHEER SLEEK [EVENING MILK TEA] , 3.5g",,,MISSHA,1
d6a08bcc-58bc-11ec-8635-d43b04e6cfa2,"MISSHA DARE ROUGE POWDER VELVET [MORNING BAKING] , 3.5g",,,MISSHA,1
d6a08bce-58bc-11ec-8635-d43b04e6cfa2,"MISSHA DARE ROUGE POWDER VELVET [DANISH JAM] , 3.5g",,,MISSHA,3
d6a08bcf-58bc-11ec-8635-d43b04e6cfa2,"MISSHA TIME REVOLUTION REGENERATING ROYAL CREAM , 50ml",,,MISSHA,1
